date=20260524 race_count=36 settled=36
202605240401080100 | g1=False | 新潟芝1200 | 1200m |  | n=16 | res=True
202605240401080200 | g1=False | 新潟ダ1200 | 1200m |  | n=15 | res=True
202605240401080300 | g1=False | 新潟ダ1800 | 1800m |  | n=10 | res=True
202605240401080400 | g1=False | 新潟障2890 | 2890m |  | n=13 | res=True
202605240401080500 | g1=False | 新潟芝2000 | 2000m |  | n=16 | res=True
202605240401080600 | g1=False | 新潟ダ1800 | 1800m |  | n=12 | res=True
202605240401080700 | g1=False | 新潟ダ1200 | 1200m |  | n=15 | res=True
202605240401080800 | g1=False | 新潟芝1200 | 1200m |  | n=16 | res=True
202605240401080900 | g1=False | 新潟芝1800 | 1800m | 二王子特別 | n=14 | res=True
202605240401081000 | g1=False | 新潟ダ1200 | 1200m | 火打山特別 | n=15 | res=True
202605240401081100 | g1=False | 新潟芝1000 | 1000m | 韋駄天ステークス | n=16 | res=True
202605240401081200 | g1=False | 新潟ダ1800 | 1800m |  | n=15 | res=True
202605240502100100 | g1=False | 東京ダ1400 | 1400m |  | n=16 | res=True
202605240502100200 | g1=False | 東京ダ1600 | 1600m |  | n=16 | res=True
202605240502100300 | g1=False | 東京ダ1300 | 1300m |  | n=16 | res=True
202605240502100400 | g1=False | 東京芝1600 | 1600m |  | n=18 | res=True
202605240502100500 | g1=False | 東京芝1800 | 1800m |  | n=14 | res=True
202605240502100600 | g1=False | 東京ダ1400 | 1400m |  | n=14 | res=True
202605240502100700 | g1=False | 東京芝2400 | 2400m |  | n=17 | res=True
202605240502100800 | g1=False | 東京ダ1600 | 1600m | 三峰山特別 | n=16 | res=True
202605240502100900 | g1=False | 東京芝1800 | 1800m | 国分寺特別 | n=12 | res=True
202605240502101000 | g1=False | 東京芝1400 | 1400m | フリーウェイステークス | n=14 | res=True
202605240502101100 | g1=False | 東京芝2400 | 2400m | 優駿牝馬 | n=18 | res=True
202605240502101200 | g1=False | 東京ダ2100 | 2100m | 丹沢ステークス | n=16 | res=True
202605240803100100 | g1=False | 京都ダ1800 | 1800m |  | n=16 | res=True
202605240803100200 | g1=False | 京都ダ1900 | 1900m |  | n=13 | res=True
202605240803100300 | g1=False | 京都芝1600 | 1600m |  | n=18 | res=True
202605240803100400 | g1=False | 京都芝2000 | 2000m |  | n=10 | res=True
202605240803100500 | g1=False | 京都芝1200 | 1200m |  | n=9 | res=True
202605240803100600 | g1=False | 京都ダ1900 | 1900m |  | n=16 | res=True
202605240803100700 | g1=False | 京都芝1400 | 1400m |  | n=18 | res=True
202605240803100800 | g1=False | 京都ダ1800 | 1800m |  | n=12 | res=True
202605240803100900 | g1=False | 京都芝1800 | 1800m | 聖護院特別 | n=11 | res=True
202605240803101000 | g1=False | 京都ダ1200 | 1200m | 高瀬川ステークス | n=14 | res=True
202605240803101100 | g1=False | 京都芝1800 | 1800m | 都大路ステークス | n=13 | res=True
202605240803101200 | g1=False | 京都ダ1400 | 1400m |  | n=16 | res=True
